nutrient,daily_recommended,unit,description
Calories,2000,kcal,Total energy intake per day for average adult
Protein,50,g,Essential for muscle repair and immune function
Carbohydrates,275,g,Primary energy source for brain and muscles
Fat,78,g,Needed for hormone production and vitamin absorption
Fiber,28,g,Supports digestion and gut health
Sodium,2300,mg,Regulates fluid balance; excess raises blood pressure
Sugar,50,g,Limit added sugars; natural sugars from fruit are fine
Vitamin C,90,mg,Antioxidant; boosts immunity and skin health
Calcium,1300,mg,Bone strength and muscle contraction
Iron,18,mg,Oxygen transport in red blood cells
Potassium,4700,mg,Heart health and muscle function
Vitamin A,900,mcg,Eye health and immune support
Vitamin D,20,mcg,Bone health and calcium absorption
Omega-3,1.6,g,Anti-inflammatory; supports heart and brain health
